"SuperClass","Class","Order","Family","Genus.species","SpecCode","basin","FUni","FSpe","PE","APD","SEI","IUCN","ori"
"Osteichthyes","Chondrostei","Acipenseriformes","Polyodontidae","Psephurus_gladius",4513,"PL",0.998301822150386,0.426884936485268,333.36982,666.739640008109,0.844697685,"EX",1
"Osteichthyes","Teleostei","Anguilliformes","Anguillidae","Anguilla_japonica",295,"PL",0.99751653761865,0.401400130455463,192.782783073,388.010558127431,0.289098524,"EN",0.81644029020878
"Osteichthyes","Teleostei","Clupeiformes","Dorosomatidae","Tenualosa_reevesii",1598,"PL",0.650066875584581,0.124463208221887,101.60123579,338.038266737066,0.313202356,"DD",0.506588161111676
"Osteichthyes","Teleostei","Clupeiformes","Engraulidae","Coilia_nasus",630,"PL",0.744382101973642,0.321560172807839,1.660262,336.300162747675,0.671014128,"EN",0.535459193610149
"Osteichthyes","Teleostei","Clupeiformes","Engraulidae","Coilia_brachygnathus",615,"PL",0.602774069386046,0.179132160365283,1.660262,336.300162747675,0.196646983,"NE",0.441127432464096
"Osteichthyes","Teleostei","Cypriniformes","Catostomidae","Myxocyprinus_asiaticus",12304,"PL",0.407817297062894,0.186031234875933,93.24906354,256.523847074892,0.198312829,"VU",0.435368301116878
"Osteichthyes","Teleostei","Cypriniformes","Balitoridae","Lepturichthys_fimbriatus",58518,"PL",0.749849014435534,0.20595688437054,63.19403318809,253.706300975903,0.313202356,"LC",0.513599045538932
"Osteichthyes","Teleostei","Cypriniformes","Botiidae","Leptobotia_taeniops",60442,"PL",0.853341944260988,0.231822822649289,13.316890357,253.316818681188,0.313202356,"LC",0.472388122981374
"Osteichthyes","Teleostei","Cypriniformes","Botiidae","Parabotia_fasciatus",54998,"PL",0.709935132858952,0.197842237380512,13.316890444,253.316818767431,0.105861288,"LC",0.394199909352204
"Osteichthyes","Teleostei","Cypriniformes","Cobitidae","Cobitis_sinensis",47864,"PL",0.5402292958029,0.245275102315705,25.671104004,251.904856778353,0.108018928,"LC",0.411911126407733
"Osteichthyes","Teleostei","Cypriniformes","Cobitidae","Cobitis_macrostigma",54728,"PL",0.853341944260988,0.260033657385533,25.671104004,251.904856778353,0.220750815,"NE",0.530982362531658
"Osteichthyes","Teleostei","Cypriniformes","Cobitidae","Misgurnus_anguillicaudatus",3016,"PL",0.336738739778551,0.191193103659663,30.163979128,251.982993737031,0,"LC",0.30910303226666
